"HOME";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"AWAY";"All points";"Two points";"Thre points";"Free throws";"Attack jumps";"Defending jumps";"Assissts";"Stolen balls";"Lost balls";"Blockages fouls";"Personal fouls";"WINNER"
"LAL";0;0;0;0;0;0;0;0;0;0;0;"HOU";0;0;0;0;0;0;0;0;0;0;0;-18
"NOP";0;0;0;0;0;0;0;0;0;0;0;"ORL";0;0;0;0;0;0;0;0;0;0;0;17
"BOS";0;0;0;0;0;0;0;0;0;0;0;"BKN";0;0;0;0;0;0;0;0;0;0;0;16
"DEN";0;0;0;0;0;0;0;0;0;0;0;"DET";0;0;0;0;0;0;0;0;0;0;0;10
"MEM";0;0;0;0;0;0;0;0;0;0;0;"MIN";0;0;0;0;0;0;0;0;0;0;0;4
"MIA";0;0;0;0;0;0;0;0;0;0;0;"WAS";0;0;0;0;0;0;0;0;0;0;0;12
"NYK";0;0;0;0;0;0;0;0;0;0;0;"CHI";0;0;0;0;0;0;0;0;0;0;0;-24
"PHX";0;0;0;0;0;0;0;0;0;0;0;"LAL";94;0,407186817550129;0,303846153846154;0,817435897435897;11;25;18;8;12;3;25;20
"POR";0;0;0;0;0;0;0;0;0;0;0;"OKC";0;0;0;0;0;0;0;0;0;0;0;17
"TOR";0;0;0;0;0;0;0;0;0;0;0;"ATL";0;0;0;0;0;0;0;0;0;0;0;7
"UTA";0;0;0;0;0;0;0;0;0;0;0;"HOU";106;0,475909090909091;0,466155810983397;0,697142857142857;11;30;20;7;15;4;26;-11
"MIN";99;0,472972972972973;0,45;0,708850931677019;14;30;19;8;17;3;21;"DET";85;0,436945812807882;0,282051282051282;0,597165991902834;11;34;17;3;13;5;25;6
"ORL";91;0,463710646479212;0,381818181818182;0,755952380952381;9;35;18;4;18;5;24;"WAS";100;0,506663113006397;0,427125506072874;0,738782051282051;6;30;21;8;13;1;22;-7
"CHI";106;0,545798773891093;0,355510752688172;0,799019607843137;10;34;23;6;17;9;23;"CLE";102;0,463483146067416;0,2875;0,864393939393939;15;27;20;6;14;3;16;-6
"LAL";100;0,459629921377505;0,319230769230769;0,783052503052503;10;27;20;7;12;2;28;"LAC";105;0,526315789473684;0,298484848484848;0,791818181818182;10;24;21;8;12;3;26;-7
"MIL";99;0,453361742424242;0,4375;0,723214285714286;9;36;25;9;16;10;22;"PHI";86;0,420168067226891;0,251552795031056;0,556060606060606;13;28;18;9;13;5;23;12
"SAC";90;0,386267605633803;0,283333333333333;0,814285714285714;14;35;13;8;18;2;25;"POR";100;0,460677555958863;0,362732095490716;0,833732057416268;11;28;21;4;10;8;22;9
"ATL";102;0,518472906403941;0,470454545454545;0,64349376114082;6;33;26;8;14;7;22;"IND";94;0,471345141830317;0,358650793650794;0,782738095238095;12;34;22;5;17;7;21;10
"CHA";88;0,408405172413793;0,285714285714286;0,705938697318008;10;37;22;9;15;6;18;"MEM";91;0,475189271036124;0,302604997341839;0,75332383665717;10;29;19;9;14;2;21;-2
"DET";86;0,466438451476441;0,207642031171443;0,636205899363794;10;33;18;3;11;4;22;"BKN";103;0,549180327868853;0,318825910931174;0,807692307692308;10;33;19;4;14;5;22;-12
"GSW";111;0,572916666666667;0,35024154589372;0,787946428571429;9;34;25;11;21;6;29;"LAL";101;0,469722441033129;0,310851648351648;0,767289377289377;12;25;20;7;15;2;28;23
"HOU";105;0,476002886002886;0,428417599479128;0,698095238095238;10;33;20;7;16;5;25;"BOS";105;0,557181403071814;0,201818181818182;0,742753623188406;11;28;24;10;11;6;25;14
"MIN";101;0,470566456867827;0,411111111111111;0,741384492085754;14;30;21;8;15;3;23;"CHI";106;0,537778892738989;0,367441951067477;0,791013071895425;8;33;20;5;16;8;23;-1
"NOP";102;0,441666666666667;0,301857585139319;0,616935483870968;20;34;22;9;11;10;18;"DAL";109;0,586896929824561;0,333968253968254;0,734553775743707;11;29;22;7;10;4;20;-5
"OKC";93;0,497863247863248;0,236904761904762;0,780299712937284;9;34;22;7;16;4;25;"DEN";90;0,455980570734669;0,259615384615385;0,720967741935484;12;33;18;5;16;7;23;11
"ORL";92;0,478539338089966;0,371212121212121;0,670634920634921;9;33;20;4;16;5;28;"TOR";108;0,460433467741935;0,249084249084249;0,804924242424242;15;33;19;8;8;6;21;-13
"PHI";89;0,492233256939139;0,269151138716356;0,614296814296814;10;30;21;9;17;6;22;"MIA";110;0,528781579788935;0,410714285714286;0,779610194902549;10;29;26;12;15;1;18;-18
"UTA";104;0,526135005973716;0,278632478632479;0,843533372945138;13;28;19;8;14;4;17;"PHX";101;0,525372670807453;0,278972520908005;0,789458689458689;9;32;18;5;10;5;22;27
"WAS";102;0,537775408670931;0,387314439946019;0,73494560994561;6;29;23;11;15;2;22;"MIL";98;0,445919322535702;0,428030303030303;0,759920634920635;11;32;22;10;19;8;24;11
"LAC";101;0,491228070175439;0,295764092538286;0,797720057720058;10;24;21;8;11;4;26;"SAC";92;0,435672656629432;0,288888888888889;0,815584415584416;12;35;16;7;18;5;24;-6
"MIA";109;0,540926850294073;0,398809523809524;0,765354165022752;10;30;25;10;15;3;22;"TOR";106;0,481558819764465;0,249389499389499;0,741744366744367;13;28;16;8;8;6;23;5
"NYK";90;0,485208118335053;0,392156862745098;0,76797385620915;10;25;24;7;12;2;24;"CHA";90;0,435906478578892;0,323809523809524;0,712005108556833;9;34;21;8;14;5;17;3
"POR";96;0,460964524485396;0,328241150080231;0,77010708589656;13;32;21;6;13;6;21;"GSW";105;0,54323476702509;0,338757521823883;0,795138888888889;8;34;24;11;19;6;24;-5
"BKN";107;0,546448087431694;0,371970897142522;0,836707152496626;10;33;21;6;12;4;21;"OKC";91;0,475092351151673;0,264635093167702;0,739986689464868;10;33;20;6;16;4;23;31
"DAL";111;0,571751644736842;0,39047619047619;0,75091533180778;10;29;22;6;12;5;19;"BOS";108;0,531078681860083;0,252825024437928;0,745169082125604;15;27;25;10;13;6;24;5
"LAC";102;0,502041742286751;0,330518721577628;0,818878278584161;9;25;23;8;10;4;23;"UTA";103;0,524601254480287;0,301566951566952;0,83056669637552;12;29;20;7;14;3;18;6
"MEM";91;0,465262921019028;0,298382319434951;0,74742530992531;9;32;19;8;13;3;22;"NOP";95;0,428853046594982;0,256793945648435;0,629681127178346;18;34;19;7;11;8;22;12
"PHI";90;0,474944173473585;0,326863354037267;0,634635654200872;9;28;21;10;17;6;22;"HOU";105;0,454563140111921;0,438960258432875;0,723571428571429;11;33;21;8;17;5;24;-11
"IND";91;0,469249597113479;0,331488095238095;0,734780844155844;12;34;20;4;17;7;20;"MIL";95;0,45540723383726;0,404356060606061;0,78422619047619;10;32;22;10;17;7;23;-6
"LAL";102;0,456333508382059;0,323681318681319;0,760172965246136;13;26;19;7;14;3;27;"PHX";104;0,51389251680422;0,292562724014337;0,785642404190791;10;34;20;5;11;5;24;-6
"NYK";88;0,447239422084623;0,427450980392157;0,773348813209494;11;26;22;7;14;2;24;"WAS";101;0,528331556503198;0,401596941070625;0,709103944301313;7;29;24;10;14;2;22;-15
"POR";97;0,490723393364047;0,326180862560173;0,76758031442242;12;33;21;6;12;5;21;"CLE";95;0,423572097378277;0,33452380952381;0,838167388167388;14;27;19;6;14;3;17;19
"BOS";107;0,542539780625831;0,285772614482292;0,794987922705314;15;30;24;8;16;5;24;"TOR";105;0,483526841154454;0,288746602859506;0,779960981047938;11;26;18;8;8;5;22;-3
"BKN";103;0,524590163934426;0,374216268094987;0,789295070254823;9;33;20;6;13;4;21;"MIN";100;0,455664568678267;0,411274509803922;0,749220187246134;13;32;21;8;14;3;23;-7
"CHA";91;0,460378632910047;0,306984126984127;0,741261420571765;9;33;22;7;13;5;18;"MIA";101;0,501710260374072;0,361363636363636;0,746428747520222;10;28;22;8;13;3;22;7
"DET";89;0,431860088607331;0,275296740769887;0,65139684876527;12;34;18;3;10;4;20;"NYK";89;0,443505823381984;0,431960784313726;0,778679050567595;11;27;22;6;13;3;24;3
"GSW";109;0,55028321812596;0,404068141367913;0,846354166666667;7;34;25;10;20;5;24;"LAC";102;0,5000460922421;0,338099187788418;0,810658178422884;8;25;23;8;11;4;21;17
"MIL";93;0,445406868150889;0,363484848484848;0,797380952380952;12;32;21;10;17;6;24;"CHI";102;0,517755054941639;0,37629850397382;0,776830065359477;8;34;21;6;15;7;21;-9
"PHI";90;0,476109184932714;0,325490683229814;0,638143305969393;8;29;21;10;17;7;21;"ORL";91;0,479492442281643;0,338441558441558;0,683333333333333;11;34;19;5;17;5;25;-2
"PHX";101;0,511114013443376;0,310240655401946;0,809466304305014;9;33;19;6;12;5;23;"MEM";93;0,470623035227921;0,344588208489137;0,750881424410836;9;32;20;8;14;2;21;-11
"SAC";103;0,471721054295119;0,297777777777778;0,815563415308096;12;34;18;7;16;4;26;"DEN";98;0,469938755576674;0,262248168498169;0,782282502443793;11;29;20;4;15;6;29;22
"SAS";94;0,500149745432764;0,371372549019608;0,754052250190694;8;36;22;5;17;5;20;"ATL";98;0,494902335612577;0,42030303030303;0,671420083184789;7;31;26;10;14;6;23;2
"WAS";100;0,495638218175532;0,403630494032971;0,749891851093224;7;31;24;10;13;3;22;"IND";91;0,461113963405069;0,324449735449735;0,747824675324675;13;35;20;4;17;7;21;2
"HOU";104;0,488705175845223;0,430945143926888;0,713020683020683;10;33;21;8;17;5;23;"SAS";91;0,478683737646002;0,303529411764706;0,789223398169336;9;34;21;6;16;4;21;17
"POR";99;0,51172765086145;0,340944690048138;0,782485304169515;12;35;21;5;13;5;21;"DAL";106;0,540983405341712;0,355859213250518;0,800732265446224;9;28;21;6;11;5;18;21
"BOS";106;0,537480100362734;0,2952847582525;0,810990338164251;14;30;25;8;15;5;23;"IND";92;0,468802698972823;0,314234428664253;0,789853896103896;13;34;20;4;16;7;21;3
"BKN";104;0,515672131147541;0,416039681142656;0,785282210050012;8;33;19;6;14;4;22;"NYK";91;0,437663303522546;0,430142758857929;0,783819843726964;12;27;22;6;13;3;24;11
"CHA";96;0,475754123916267;0,303439153439153;0,741174640599928;9;34;23;6;14;5;20;"ATL";103;0,496176751709433;0,413712121212121;0,695872754696284;7;31;26;9;15;5;25;3
"DEN";99;0,479522433032768;0,285660603764052;0,759159335288368;11;30;20;4;14;6;28;"CLE";99;0,451332953977318;0,327888198757764;0,818354978354978;11;28;17;6;12;3;17;-9
"DET";91;0,445488070885865;0,315889566528953;0,629450812345549;12;32;18;4;12;4;21;"MIL";94;0,461815664979542;0,344570707070707;0,794918909592823;11;31;22;10;16;6;23;3
"OKC";90;0,499949333988882;0,304042443064182;0,632112338431124;9;33;19;5;16;3;22;"MEM";93;0,4583234288275;0,370490173740948;0,762989422303148;9;31;20;9;13;3;20;-2
"ORL";95;0,483939175152398;0,365367965367965;0,701023391812865;11;35;19;5;17;5;25;"MIN";100;0,460531654942614;0,373464052287582;0,751376149796907;12;31;22;8;13;4;22;9
"PHI";94;0,481457107662508;0,337908902691511;0,645119421641161;10;28;22;9;16;6;22;"CHI";104;0,517882298871119;0,396915419978183;0,774809368191721;9;33;22;5;15;7;21;-3
"PHX";103;0,505530334585898;0,312297320361836;0,794555253587512;9;33;19;6;12;5;25;"SAC";105;0,473100878579266;0,279398148148148;0,820661820449054;12;36;17;7;16;4;26;-2
"TOR";105;0,477651677973539;0,308803987231407;0,778999742271131;11;28;18;7;9;4;23;"WAS";97;0,48334434847961;0,36267453450116;0,73428487591102;8;31;23;9;13;3;23;19
"UTA";99;0,528305598224953;0,310171618504952;0,814077957073313;12;29;21;5;15;4;19;"DAL";106;0,536757004451427;0,359049344375431;0,810134030728996;10;28;21;7;10;5;19;-23
